# frequency, power_density
1.129542038686252141e+02 1.500166699284221750e+01
1.131905570367005396e+02 3.178042868459219505e+01
1.134269102047758793e+02 4.214013585888973523e+01
1.136632633728512047e+02 1.663410228192371321e+01
1.138996165409265302e+02 1.283572034413459484e+01
1.141359697090018557e+02 1.130126705052443441e+02
1.143723228770771954e+02 9.788645514796687053e+01
1.146086760451525350e+02 2.912383379798585281e+01
1.148450292132278605e+02 2.320796666569597733e+01
1.150813823813031860e+02 1.090316820923825389e+02
1.153177355493785257e+02 7.557182192483391248e+01
1.155540887174538511e+02 3.182856414633212783e+00
1.157904418855291766e+02 2.607740566117603365e+01
1.160267950536045021e+02 3.821249900900187679e+00
1.162631482216798275e+02 2.580733012010365712e+01
1.164995013897551672e+02 1.068472427919716381e+02
1.167358545578304927e+02 1.605710762523972051e+02
1.169722077259058182e+02 2.244402452990716412e+01
1.172085608939811578e+02 5.262631495320639630e+01
1.174449140620564833e+02 2.419604508272142951e+01
1.176812672301318088e+02 1.270398640785299449e+01
1.179176203982071343e+02 3.646663535155357749e+01
1.181539735662824597e+02 8.863541173755815805e+01
1.183903267343577994e+02 6.086315792268448099e+00
1.186266799024331249e+02 2.186126200233968930e+01
1.188630330705084504e+02 1.021627981437849364e+01
1.190993862385837900e+02 8.645359662702217918e+01
1.193357394066591155e+02 1.182252350363577165e+01
1.195720925747344410e+02 9.295993538425666713e+01
1.198084457428097664e+02 1.532729106016022627e+02
1.200447989108850919e+02 1.952810948272486087e+02
1.202811520789604316e+02 7.292565353306677878e+01
1.205175052470357571e+02 1.174334969241047233e+01
1.207538584151110825e+02 7.090377958567511030e+01
1.209902115831864222e+02 5.660012241583759618e+01
1.212265647512617619e+02 2.092223757698529418e+00
1.214629179193370874e+02 3.018497251217019439e+01
1.216992710874124128e+02 2.640137737611913238e+01
1.219356242554877383e+02 1.022626329611249751e+01
1.221719774235630922e+02 2.072139586746345330e+01
1.224083305916384177e+02 6.288526781697603951e+01
1.226446837597137431e+02 7.508962569098638085e+01
1.228810369277890686e+02 1.006743573219362418e+02
1.231173900958643941e+02 2.265508410218020074e+01
1.233537432639397196e+02 1.423438805107655547e+01
1.235900964320150450e+02 4.021665585290730149e+01
1.238264496000903705e+02 1.106895595755197803e+02
1.240628027681657244e+02 3.188183979563724790e+01
1.242991559362410499e+02 2.422447972511334058e+01
1.245355091043163753e+02 6.718018757916044414e-01
1.247718622723917008e+02 8.714184597089030149e+01
1.250082154404670263e+02 3.802632996521786168e+01
1.252445686085423517e+02 5.916212349933928749e+01
1.254809217766176772e+02 1.732952457169803040e+02
1.257172749446930027e+02 2.755601918718762633e+01
1.259536281127683566e+02 1.006732358602406379e+02
1.261899812808436820e+02 6.432981746165820880e+01
1.264263344489190075e+02 6.989964216758794180e+01
1.266626876169943330e+02 1.004846662441056253e+02
1.268990407850696585e+02 9.826155105999283990e+00
1.271353939531449839e+02 9.568975340658406026e+01
1.273717471212203094e+02 6.550265610258930948e+00
1.276081002892956349e+02 3.652367515163194156e+01
1.278444534573709888e+02 1.453492804846286468e+01
1.280808066254463142e+02 1.596860265896085629e+01
1.283171597935216539e+02 7.037953042211925947e+01
1.285535129615969652e+02 7.258025328132806919e+01
1.287898661296723049e+02 2.934879789664757510e+01
1.290262192977476161e+02 8.095559225891577171e+00
1.292625724658229558e+02 4.529655422980152224e+01
1.294989256338982671e+02 5.721578330139286095e+01
1.297352788019736352e+02 1.122108785747383930e+00
1.299716319700489464e+02 1.293477214075440997e+02
1.302079851381242861e+02 1.736725769934746779e+02
1.304443383061995974e+02 1.782981044724809294e+01
1.306806914742749370e+02 1.430550450052282088e+02
1.309170446423502483e+02 1.501700375878859859e+02
1.311533978104255880e+02 2.969085785496946173e+01
1.313897509785009277e+02 4.021733317686565812e+01
1.316261041465762673e+02 5.726169649692673858e+01
1.318624573146516070e+02 4.713392358102936441e+01
1.320988104827269183e+02 1.568511004779284157e+01
1.323351636508022580e+02 3.588204263551064699e+00
1.325715168188775692e+02 5.366342913935570280e+00
1.328078699869529089e+02 3.705426497063964764e+00
1.330442231550282202e+02 3.540149866748677709e+01
1.332805763231035598e+02 3.277384529508215394e+01
1.335169294911788995e+02 3.750888725380813327e+01
1.337532826592542392e+02 2.512715588604135775e+01
1.339896358273295505e+02 4.827595951545615804e+01
1.342259889954048901e+02 5.374543385455243794e+01
1.344623421634802014e+02 2.329787412817335124e+01
1.346986953315555411e+02 3.392644602461153625e+01
1.349350484996308523e+02 8.565242262826508579e+00
1.351714016677061920e+02 1.227971203469732586e+01
1.354077548357815317e+02 4.797320882001947506e-01
1.356441080038568714e+02 1.196960834523353512e+01
1.358804611719321827e+02 2.599921352280721010e+01
1.361168143400075223e+02 8.877234366197123450e+01
1.363531675080828336e+02 1.022185518972847547e+02
1.365895206761581733e+02 2.201459428967467957e+01
1.368258738442334845e+02 9.250837887247465119e+01
1.370622270123088242e+02 8.877620421023505060e+01
1.372985801803841639e+02 1.965696639798818879e+01
1.375349333484595036e+02 2.842685436925207298e+01
1.377712865165348148e+02 8.853011743929195543e-01
1.380076396846101545e+02 1.978069201269203248e+01
1.382439928526854942e+02 1.277294856964656056e+00
1.384803460207608055e+02 8.885279063302261804e+00
1.387166991888361451e+02 3.899166523653901262e+00
