# frequency, psd_without_bg
1.361168143400075223e+02 2.267948121548459373e+00
1.363531675080828336e+02 2.615068890043997119e+00
1.365895206761581733e+02 5.639808249645708038e-01
1.368258738442334845e+02 2.373215824717742617e+00
1.370622270123088242e+02 2.280644157975368014e+00
1.372985801803841639e+02 5.056901921747860573e-01
1.375349333484595036e+02 7.323289671920364396e-01
1.377712865165348148e+02 2.283915983450725620e-02
1.380076396846101545e+02 5.110278268815360292e-01
1.382439928526854942e+02 3.304536350886216195e-02
1.384803460207608055e+02 2.302019872581219095e-01
1.387166991888361451e+02 1.011651049210713638e-01
1.389530523569114564e+02 1.263931278095274058e+00
1.391894055249868245e+02 1.220464976775165855e+00
1.394257586930621358e+02 7.513886910095597393e-01
1.396621118611374754e+02 4.287400740118395281e-02
1.398984650292127867e+02 8.025857807649217079e-02
1.401348181972881264e+02 7.950974941165015464e-01
1.403711713653634376e+02 3.547363055253589081e+00
1.406075245334387773e+02 3.338437212561047307e+00
1.408438777015140886e+02 1.528468727773610647e+00
1.410802308695894567e+02 1.889239348093811666e+00
1.413165840376647679e+02 2.094293903112043775e+00
1.415529372057401076e+02 2.529114653664137069e-02
1.417892903738154189e+02 4.747136919170445779e+00
1.420256435418907586e+02 1.224839217794122881e+01
1.422619967099660698e+02 7.223488755181045384e+00
1.424983498780414095e+02 4.011156702089186399e-01
1.427347030461167208e+02 6.187059390755715871e-01
1.429710562141920889e+02 6.203258051931439532e-01
1.432074093822674001e+02 1.374666565146321906e-01
1.434437625503427398e+02 1.083540362455130746e+00
1.436801157184180511e+02 2.418823584768338808e+00
1.439164688864933908e+02 6.934626795704567082e-01
1.441528220545687020e+02 2.815358984241433049e+00
1.443891752226440417e+02 1.678034941015117409e+00
1.446255283907193814e+02 6.515612093461758958e-01
1.448618815587947211e+02 5.079835963430100465e-01
1.450982347268700607e+02 2.932854382567931850e+00
1.453345878949453720e+02 6.252417898712389066e-01
1.455709410630207117e+02 2.005749187767058572e+00
1.458072942310960229e+02 1.289404746939764923e+00
1.460436473991713626e+02 2.446980024651924657e-01
